model_name,t50_panc_igg,t60_panc_igg,t70_panc_igg,t80_panc_igg,t90_panc_igg,nseq_panc_igg
IGRP_WF_10_Kf_dist,0.35914454277286134,0.3407079646017699,0.14970501474926254,0.12831858407079647,0.10693215339233038,1356
IGRP_WF_11_Kf_dist,0.36283185840707965,0.1696165191740413,0.14380530973451328,0.11356932153392331,0.09070796460176991,1356
IGRP_WF_12_Kf_dist,0.3414454277286136,0.32079646017699115,0.2935103244837758,0.10471976401179942,0.06784660766961652,1356
IGRP_WF_13_Kf_dist,0.2182890855457227,0.17404129793510326,0.12536873156342182,0.10914454277286136,0.004424778761061947,1356
IGRP_WF_14_Kf_dist,0.1541297935103245,0.09513274336283185,0.07964601769911504,0.06858407079646017,0.003687315634218289,1356
IGRP_WF_15_Kf_dist,0.3864306784660767,0.19616519174041297,0.1710914454277286,0.10545722713864307,0.07669616519174041,1356
IGRP_WF_16_Kf_dist,0.21755162241887904,0.18805309734513273,0.11430678466076696,0.08185840707964602,0.0058997050147492625,1356
IGRP_WF_17_Kf_dist,0.42330383480825956,0.38569321533923306,0.35914454277286134,0.30973451327433627,0.28244837758112096,1356
IGRP_WF_18_Kf_dist,0.33185840707964603,0.3200589970501475,0.2883480825958702,0.11061946902654868,0.007374631268436578,1356
IGRP_WF_19_Kf_dist,0.39011799410029496,0.334070796460177,0.3023598820058997,0.11504424778761062,0.10766961651917405,1356
IGRP_WF_1_Kf_dist,0.2721238938053097,0.23525073746312683,0.18436578171091444,0.1415929203539823,0.0943952802359882,1356
IGRP_WF_20_Kf_dist,0.3502949852507375,0.33112094395280234,0.13053097345132744,0.1084070796460177,0.005162241887905605,1356
IGRP_WF_21_Kf_dist,0.3997050147492625,0.3480825958702065,0.15117994100294985,0.10250737463126844,0.0803834808259587,1356
IGRP_WF_22_Kf_dist,0.16002949852507375,0.10766961651917405,0.08112094395280237,0.06932153392330384,0.0014749262536873156,1356
IGRP_WF_23_Kf_dist,0.17699115044247787,0.1467551622418879,0.12463126843657817,0.06784660766961652,0.0022123893805309734,1356
IGRP_WF_24_Kf_dist,0.14380530973451328,0.12536873156342182,0.11430678466076696,0.06784660766961652,0.06563421828908554,1356
IGRP_WF_25_Kf_dist,0.415929203539823,0.37389380530973454,0.3480825958702065,0.1430678466076696,0.1290560471976401,1356
IGRP_WF_26_Kf_dist,0.18289085545722714,0.1710914454277286,0.1467551622418879,0.11356932153392331,0.10398230088495575,1356
IGRP_WF_27_Kf_dist,0.4218289085545723,0.38569321533923306,0.34587020648967554,0.14454277286135694,0.08997050147492626,1356
IGRP_WF_28_Kf_dist,0.18952802359882007,0.16887905604719763,0.13716814159292035,0.12979351032448377,0.10988200589970501,1356
IGRP_WF_29_Kf_dist,0.362094395280236,0.336283185840708,0.14233038348082597,0.08849557522123894,0.06858407079646017,1356
IGRP_WF_2_Kf_dist,0.32964601769911506,0.14233038348082597,0.12168141592920353,0.0715339233038348,0.0029498525073746312,1356
IGRP_WF_30_Kf_dist,0.13569321533923304,0.1084070796460177,0.07743362831858407,0.06932153392330384,0.06637168141592921,1356
IGRP_WF_31_Kf_dist,0.415929203539823,0.37315634218289084,0.32890855457227136,0.10398230088495575,0.07448377581120944,1356
IGRP_WF_32_Kf_dist,0.14896755162241887,0.1275811209439528,0.11061946902654868,0.10176991150442478,0.06489675516224189,1356
IGRP_WF_33_Mc_dist,0.3915929203539823,0.3665191740412979,0.16445427728613568,0.1364306784660767,0.07890855457227139,1356
IGRP_WF_34_Mc_dist,0.3525073746312684,0.3355457227138643,0.12979351032448377,0.10693215339233038,0.06710914454277286,1356
IGRP_WF_35_Mc_dist,0.4351032448377581,0.39085545722713866,0.35766961651917406,0.12831858407079647,0.09734513274336283,1356
IGRP_WF_36_Mc_dist,0.3753687315634218,0.35103244837758113,0.14454277286135694,0.12536873156342182,0.10766961651917405,1356
IGRP_WF_37_Mc_dist,0.4314159292035398,0.3797935103244838,0.18141592920353983,0.13569321533923304,0.084070796460177,1356
IGRP_WF_38_Mc_dist,0.16371681415929204,0.13495575221238937,0.11578171091445427,0.0700589970501475,0.0007374631268436578,1356
IGRP_WF_39_Mc_dist,0.2558997050147493,0.21238938053097345,0.17404129793510326,0.11135693215339233,0.07890855457227139,1356
IGRP_WF_3_Kf_dist,0.24926253687315633,0.22566371681415928,0.19690265486725664,0.12168141592920353,0.09808259587020648,1356
IGRP_WF_40_Mc_dist,0.33997050147492625,0.14528023598820058,0.11799410029498525,0.07595870206489676,0.06784660766961652,1356
IGRP_WF_41_Mc_dist,0.40486725663716816,0.35988200589970504,0.3252212389380531,0.12684365781710916,0.1084070796460177,1356
IGRP_WF_42_Mc_dist,0.3525073746312684,0.17256637168141592,0.1415929203539823,0.11135693215339233,0.009587020648967551,1356
IGRP_WF_43_Mc_dist,0.4056047197640118,0.2153392330383481,0.1887905604719764,0.12020648967551623,0.09660766961651918,1356
IGRP_WF_44_Mc_dist,0.3702064896755162,0.16740412979351033,0.1430678466076696,0.09144542772861357,0.0715339233038348,1356
IGRP_WF_45_Mc_dist,0.4144542772861357,0.1976401179941003,0.16445427728613568,0.1084070796460177,0.07743362831858407,1356
IGRP_WF_46_Mc_dist,0.16445427728613568,0.14601769911504425,0.12094395280235988,0.07079646017699115,0.06563421828908554,1356
IGRP_WF_47_Mc_dist,0.25,0.20870206489675516,0.1762536873156342,0.11504424778761062,0.08480825958702065,1356
IGRP_WF_48_Mc_dist,0.3325958702064897,0.13274336283185842,0.11356932153392331,0.10398230088495575,0.003687315634218289,1356
IGRP_WF_49_Mc_dist,0.415929203539823,0.387905604719764,0.3392330383480826,0.13126843657817108,0.07448377581120944,1356
IGRP_WF_4_Kf_dist,0.3421828908554572,0.16150442477876106,0.1415929203539823,0.1224188790560472,0.07374631268436578,1356
IGRP_WF_50_Mc_dist,0.3421828908554572,0.16371681415929204,0.12831858407079647,0.07669616519174041,0.06858407079646017,1356
IGRP_WF_51_Mc_dist,0.26548672566371684,0.22640117994100295,0.19321533923303835,0.13348082595870206,0.09660766961651918,1356
IGRP_WF_52_Mc_dist,0.3672566371681416,0.15781710914454278,0.14601769911504425,0.12463126843657817,0.07300884955752213,1356
IGRP_WF_53_Mc_dist,0.40707964601769914,0.1976401179941003,0.1592920353982301,0.09513274336283185,0.07079646017699115,1356
IGRP_WF_54_Mc_dist,0.18215339233038347,0.14749262536873156,0.07817109144542773,0.07079646017699115,0.0014749262536873156,1356
IGRP_WF_55_Mc_dist,0.2448377581120944,0.18584070796460178,0.1504424778761062,0.1261061946902655,0.08702064896755163,1356
IGRP_WF_56_Mc_dist,0.1873156342182891,0.1467551622418879,0.08480825958702065,0.07300884955752213,0.06489675516224189,1356
IGRP_WF_57_Mc_dist,0.38200589970501475,0.34365781710914456,0.3281710914454277,0.10914454277286136,0.07669616519174041,1356
IGRP_WF_58_Mc_dist,0.3480825958702065,0.16150442477876106,0.14896755162241887,0.07669616519174041,0.06858407079646017,1356
IGRP_WF_59_Mc_dist,0.4078171091445428,0.38495575221238937,0.19321533923303835,0.12168141592920353,0.08775811209439528,1356
IGRP_WF_5_Kf_dist,0.413716814159292,0.21460176991150443,0.17404129793510326,0.11578171091445427,0.084070796460177,1356
IGRP_WF_60_Mc_dist,0.1836283185840708,0.1504424778761062,0.1261061946902655,0.07964601769911504,0.06784660766961652,1356
IGRP_WF_61_Mc_dist,0.21607669616519173,0.18584070796460178,0.16002949852507375,0.10029498525073746,0.07448377581120944,1356
IGRP_WF_62_Mc_dist,0.17551622418879056,0.13716814159292035,0.0752212389380531,0.0700589970501475,0.0007374631268436578,1356
IGRP_WF_63_Mc_dist,0.24926253687315633,0.19174041297935104,0.1570796460176991,0.1224188790560472,0.08333333333333333,1356
IGRP_WF_64_Mc_dist,0.17035398230088494,0.13421828908554573,0.08333333333333333,0.06784660766961652,0.06415929203539823,1356
IGRP_WF_65_Mc_dist,0.37389380530973454,0.3584070796460177,0.16371681415929204,0.13938053097345132,0.12684365781710916,1356
IGRP_WF_66_Mc_dist,0.35693215339233036,0.16740412979351033,0.1415929203539823,0.12979351032448377,0.0700589970501475,1356
IGRP_WF_67_Mc_dist,0.4092920353982301,0.3753687315634218,0.34292035398230086,0.14896755162241887,0.10914454277286136,1356
IGRP_WF_68_Mc_dist,0.3613569321533923,0.33997050147492625,0.1504424778761062,0.1261061946902655,0.012536873156342183,1356
IGRP_WF_69_Mc_dist,0.193952802359882,0.17772861356932154,0.13421828908554573,0.10619469026548672,0.09955752212389381,1356
IGRP_WF_6_Kf_dist,0.3480825958702065,0.15634218289085547,0.11946902654867257,0.009587020648967551,0.004424778761061947,1356
IGRP_WF_70_Mc_dist,0.1430678466076696,0.08259587020648967,0.07669616519174041,0.06710914454277286,0.0014749262536873156,1356
IGRP_WF_71_Mc_dist,0.3702064896755162,0.1570796460176991,0.137905604719764,0.1172566371681416,0.06563421828908554,1356
IGRP_WF_72_Mc_dist,0.16740412979351033,0.1430678466076696,0.1187315634218289,0.06784660766961652,0.0014749262536873156,1356
IGRP_WF_73_Mc_dist,0.4056047197640118,0.3672566371681416,0.3414454277286136,0.15486725663716813,0.11356932153392331,1356
IGRP_WF_74_Mc_dist,0.18584070796460178,0.16445427728613568,0.137905604719764,0.11283185840707964,0.04056047197640118,1356
IGRP_WF_75_Mc_dist,0.42551622418879054,0.3915929203539823,0.1836283185840708,0.1592920353982301,0.11578171091445427,1356
IGRP_WF_76_Mc_dist,0.18289085545722714,0.1592920353982301,0.13200589970501475,0.10766961651917405,0.03761061946902655,1356
IGRP_WF_77_Mc_dist,0.3480825958702065,0.15486725663716813,0.13569321533923304,0.11061946902654868,0.10176991150442478,1356
IGRP_WF_78_Mc_dist,0.17035398230088494,0.13126843657817108,0.07890855457227139,0.06932153392330384,0.06637168141592921,1356
IGRP_WF_79_Mc_dist,0.20058997050147492,0.16592920353982302,0.1415929203539823,0.10914454277286136,0.09955752212389381,1356
IGRP_WF_7_Kf_dist,0.4631268436578171,0.24410029498525074,0.1836283185840708,0.11135693215339233,0.08997050147492626,1356
IGRP_WF_80_Mc_dist,0.16371681415929204,0.13716814159292035,0.11061946902654868,0.10471976401179942,0.06637168141592921,1356
IGRP_WF_81_Mc_dist,0.3805309734513274,0.3547197640117994,0.3252212389380531,0.13864306784660768,0.06047197640117994,1356
IGRP_WF_82_Mc_dist,0.16519174041297935,0.1467551622418879,0.12094395280235988,0.04056047197640118,0.0014749262536873156,1356
IGRP_WF_83_Mc_dist,0.41150442477876104,0.3724188790560472,0.33702064896755163,0.14380530973451328,0.11135693215339233,1356
IGRP_WF_84_Mc_dist,0.34587020648967554,0.3274336283185841,0.13495575221238937,0.11578171091445427,0.06858407079646017,1356
IGRP_WF_85_Mc_dist,0.18141592920353983,0.14380530973451328,0.12168141592920353,0.10324483775811209,0.035398230088495575,1356
IGRP_WF_86_Mc_dist,0.09218289085545722,0.07079646017699115,0.06710914454277286,0.0014749262536873156,0.0,1356
IGRP_WF_87_Mc_dist,0.221976401179941,0.18067846607669616,0.137905604719764,0.11356932153392331,0.06784660766961652,1356
IGRP_WF_88_Mc_dist,0.15117994100294985,0.1261061946902655,0.07227138643067847,0.06563421828908554,0.06415929203539823,1356
IGRP_WF_89_Mc_dist,0.38495575221238937,0.35398230088495575,0.3333333333333333,0.13348082595870206,0.10988200589970501,1356
IGRP_WF_8_Kf_dist,0.13716814159292035,0.09882005899705015,0.07964601769911504,0.07079646017699115,0.06637168141592921,1356
IGRP_WF_90_Mc_dist,0.1747787610619469,0.14749262536873156,0.12168141592920353,0.10693215339233038,0.004424778761061947,1356
IGRP_WF_91_Mc_dist,0.4218289085545723,0.35988200589970504,0.140117994100295,0.1224188790560472,0.10914454277286136,1356
IGRP_WF_92_Mc_dist,0.33185840707964603,0.306047197640118,0.1290560471976401,0.10766961651917405,0.003687315634218289,1356
IGRP_WF_93_Mc_dist,0.3561946902654867,0.1592920353982301,0.12684365781710916,0.10693215339233038,0.10103244837758112,1356
IGRP_WF_94_Mc_dist,0.140117994100295,0.10619469026548672,0.038348082595870206,0.036135693215339236,0.0007374631268436578,1356
IGRP_WF_95_Mc_dist,0.2205014749262537,0.1762536873156342,0.13938053097345132,0.07743362831858407,0.06710914454277286,1356
IGRP_WF_96_Mc_dist,0.15634218289085547,0.11504424778761062,0.10619469026548672,0.06784660766961652,0.0014749262536873156,1356
IGRP_WF_9_Kf_dist,0.4336283185840708,0.3893805309734513,0.35988200589970504,0.16002949852507375,0.09365781710914454,1356
