model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_1_Kf_add_dist,17.0,34.0,63.0,80.0,22.0,61.0,17.0,63.0,23.0,22.0,59.0,1.0,31.0,41.0,22.0,34.0,80.0,22.0,61.0,75.0
IGRP_WF_2_Kf_add_dist,75.0,91.0,6.0,22.0,46.0,6.0,75.0,6.0,71.0,47.0,40.0,1.0,20.0,79.0,46.0,91.0,22.0,72.0,6.0,25.0
IGRP_WF_3_Kf_add_dist,42.0,21.0,76.0,55.0,69.0,82.0,42.0,76.0,56.0,69.0,61.0,1.0,80.0,12.0,69.0,21.0,55.0,55.0,82.0,42.0
IGRP_WF_4_Kf_add_dist,61.0,51.0,46.0,36.0,53.0,46.0,61.0,46.0,58.0,53.0,2.0,1.0,56.0,69.0,53.0,51.0,36.0,57.0,46.0,40.0
IGRP_WF_5_Kf_add_dist,56.0,22.0,74.0,41.0,86.0,86.0,56.0,74.0,73.0,86.0,94.0,1.0,92.0,38.0,86.0,22.0,41.0,73.0,86.0,24.0
IGRP_WF_6_Kf_add_dist,59.0,89.0,8.0,38.0,19.0,5.0,59.0,8.0,31.0,19.0,35.0,1.0,7.0,95.0,19.0,89.0,38.0,37.0,5.0,60.0
IGRP_WF_7_Kf_add_dist,29.0,3.0,94.0,68.0,75.0,96.0,29.0,94.0,50.0,75.0,93.0,1.0,91.0,7.0,75.0,3.0,68.0,42.0,96.0,55.0
IGRP_WF_8_Kf_add_dist,82.0,70.0,27.0,15.0,72.0,31.0,82.0,27.0,81.0,74.0,60.0,1.0,67.0,78.0,73.0,70.0,15.0,81.0,31.0,16.0
IGRP_WF_9_Kf_add_dist,38.0,27.0,70.0,59.0,60.0,74.0,38.0,70.0,49.0,60.0,81.0,1.0,76.0,17.0,60.0,27.0,59.0,45.0,74.0,52.0
IGRP_WF_10_Kf_add_dist,52.0,43.0,54.0,45.0,50.0,54.0,52.0,54.0,45.0,50.0,13.0,1.0,55.0,61.0,50.0,43.0,45.0,47.0,54.0,50.0
IGRP_WF_11_Kf_add_dist,33.0,18.0,79.0,64.0,58.0,81.0,33.0,79.0,41.0,58.0,85.0,1.0,77.0,2.0,58.0,18.0,64.0,39.0,81.0,58.0
IGRP_WF_12_Kf_add_dist,41.0,42.0,55.0,56.0,39.0,55.0,41.0,55.0,36.0,39.0,70.0,1.0,47.0,13.0,39.0,42.0,56.0,36.0,55.0,61.0
IGRP_WF_13_Kf_add_dist,53.0,29.0,68.0,44.0,78.0,76.0,53.0,68.0,69.0,78.0,80.0,1.0,84.0,22.0,78.0,29.0,44.0,68.0,76.0,29.0
IGRP_WF_14_Kf_add_dist,89.0,90.0,7.0,8.0,83.0,9.0,89.0,7.0,87.0,84.0,55.0,1.0,60.0,88.0,83.0,90.0,8.0,87.0,9.0,10.0
IGRP_WF_15_Kf_add_dist,40.0,10.0,87.0,57.0,84.0,91.0,40.0,87.0,64.0,83.0,96.0,1.0,93.0,3.0,84.0,10.0,57.0,63.0,91.0,34.0
IGRP_WF_16_Kf_add_dist,84.0,69.0,28.0,13.0,82.0,32.0,84.0,28.0,84.0,82.0,3.0,1.0,70.0,94.0,82.0,69.0,13.0,84.0,32.0,13.0
IGRP_WF_17_Kf_add_dist,7.0,8.0,89.0,90.0,20.0,79.0,7.0,89.0,13.0,20.0,31.0,1.0,35.0,16.0,20.0,8.0,90.0,10.0,79.0,87.0
IGRP_WF_18_Kf_add_dist,70.0,79.0,18.0,27.0,40.0,16.0,70.0,18.0,57.0,40.0,4.0,1.0,22.0,96.0,40.0,79.0,27.0,60.0,16.0,37.0
IGRP_WF_19_Kf_add_dist,48.0,22.0,74.0,49.0,77.0,84.0,48.0,74.0,66.0,77.0,86.0,1.0,87.0,14.0,77.0,22.0,49.0,65.0,84.0,32.0
IGRP_WF_20_Kf_add_dist,27.0,40.0,57.0,70.0,29.0,57.0,27.0,57.0,27.0,29.0,67.0,1.0,33.0,46.0,29.0,40.0,70.0,27.0,57.0,70.0
IGRP_WF_21_Kf_add_dist,72.0,66.0,31.0,25.0,54.0,36.0,72.0,31.0,68.0,54.0,29.0,1.0,52.0,60.0,54.0,66.0,25.0,69.0,36.0,28.0
IGRP_WF_22_Kf_add_dist,96.0,93.0,4.0,1.0,96.0,11.0,96.0,4.0,96.0,96.0,73.0,1.0,96.0,6.0,96.0,93.0,1.0,96.0,11.0,1.0
IGRP_WF_23_Kf_add_dist,74.0,55.0,42.0,23.0,70.0,44.0,74.0,42.0,76.0,70.0,95.0,1.0,68.0,45.0,70.0,55.0,23.0,76.0,44.0,21.0
IGRP_WF_24_Kf_add_dist,86.0,64.0,33.0,11.0,90.0,43.0,86.0,33.0,88.0,90.0,92.0,1.0,82.0,44.0,90.0,64.0,11.0,89.0,43.0,8.0
IGRP_WF_25_Kf_add_dist,16.0,31.0,66.0,81.0,14.0,63.0,16.0,66.0,19.0,14.0,8.0,1.0,21.0,33.0,14.0,31.0,81.0,18.0,63.0,79.0
IGRP_WF_26_Kf_add_dist,88.0,52.0,45.0,9.0,94.0,56.0,88.0,45.0,91.0,94.0,83.0,1.0,94.0,29.0,94.0,52.0,9.0,94.0,56.0,3.0
IGRP_WF_27_Kf_add_dist,4.0,11.0,86.0,92.0,13.0,75.0,4.0,86.0,8.0,12.0,63.0,1.0,30.0,10.0,12.0,11.0,92.0,7.0,75.0,90.0
IGRP_WF_28_Kf_add_dist,87.0,94.0,3.0,10.0,67.0,3.0,87.0,3.0,86.0,67.0,91.0,1.0,42.0,73.0,67.0,94.0,10.0,85.0,3.0,12.0
IGRP_WF_29_Kf_add_dist,11.0,20.0,77.0,86.0,16.0,71.0,11.0,77.0,16.0,16.0,58.0,1.0,29.0,40.0,16.0,20.0,86.0,13.0,71.0,84.0
IGRP_WF_30_Kf_add_dist,93.0,85.0,12.0,4.0,91.0,14.0,93.0,12.0,93.0,91.0,19.0,1.0,74.0,47.0,91.0,85.0,4.0,92.0,14.0,5.0
IGRP_WF_31_Kf_add_dist,36.0,36.0,61.0,61.0,51.0,66.0,36.0,61.0,38.0,51.0,21.0,1.0,63.0,70.0,51.0,36.0,61.0,38.0,66.0,59.0
IGRP_WF_32_Kf_add_dist,67.0,83.0,14.0,30.0,32.0,10.0,67.0,14.0,46.0,32.0,62.0,1.0,11.0,37.0,32.0,83.0,30.0,53.0,10.0,44.0
IGRP_WF_33_Mc_add_dist,6.0,14.0,83.0,91.0,11.0,73.0,6.0,83.0,6.0,11.0,45.0,1.0,27.0,26.0,11.0,14.0,91.0,6.0,73.0,91.0
IGRP_WF_34_Mc_add_dist,19.0,56.0,41.0,78.0,3.0,30.0,19.0,41.0,3.0,3.0,14.0,1.0,4.0,80.0,3.0,56.0,78.0,11.0,30.0,86.0
IGRP_WF_35_Mc_add_dist,34.0,6.0,91.0,63.0,76.0,94.0,34.0,91.0,55.0,76.0,79.0,1.0,90.0,5.0,76.0,6.0,63.0,50.0,94.0,47.0
IGRP_WF_36_Mc_add_dist,57.0,59.0,38.0,40.0,38.0,39.0,57.0,38.0,43.0,38.0,42.0,1.0,36.0,59.0,38.0,59.0,40.0,43.0,39.0,54.0
IGRP_WF_37_Mc_add_dist,45.0,35.0,62.0,52.0,59.0,69.0,45.0,62.0,53.0,59.0,72.0,1.0,73.0,58.0,59.0,35.0,52.0,52.0,69.0,45.0
IGRP_WF_38_Mc_add_dist,76.0,72.0,25.0,21.0,65.0,28.0,76.0,25.0,77.0,66.0,65.0,1.0,58.0,91.0,66.0,72.0,21.0,77.0,28.0,20.0
IGRP_WF_39_Mc_add_dist,25.0,4.0,93.0,72.0,66.0,93.0,25.0,93.0,37.0,65.0,78.0,1.0,81.0,25.0,65.0,4.0,72.0,34.0,93.0,63.0
IGRP_WF_40_Mc_add_dist,66.0,46.0,50.0,31.0,64.0,53.0,66.0,50.0,72.0,63.0,74.0,1.0,66.0,66.0,63.0,46.0,31.0,71.0,53.0,26.0
IGRP_WF_41_Mc_add_dist,22.0,32.0,65.0,75.0,31.0,65.0,22.0,65.0,26.0,31.0,64.0,1.0,41.0,32.0,31.0,32.0,75.0,25.0,65.0,72.0
IGRP_WF_42_Mc_add_dist,37.0,58.0,39.0,60.0,21.0,34.0,37.0,39.0,28.0,21.0,41.0,1.0,10.0,53.0,21.0,58.0,60.0,28.0,34.0,69.0
IGRP_WF_43_Mc_add_dist,44.0,19.0,78.0,53.0,73.0,85.0,44.0,78.0,62.0,72.0,90.0,1.0,85.0,4.0,72.0,19.0,53.0,59.0,85.0,38.0
IGRP_WF_44_Mc_add_dist,39.0,44.0,53.0,58.0,35.0,48.0,39.0,53.0,33.0,35.0,1.0,1.0,37.0,85.0,35.0,44.0,58.0,33.0,48.0,64.0
IGRP_WF_45_Mc_add_dist,9.0,24.0,73.0,88.0,9.0,67.0,9.0,73.0,5.0,9.0,52.0,1.0,16.0,52.0,9.0,24.0,88.0,9.0,67.0,88.0
IGRP_WF_46_Mc_add_dist,58.0,57.0,40.0,39.0,44.0,41.0,58.0,40.0,47.0,44.0,34.0,1.0,39.0,75.0,44.0,57.0,39.0,51.0,41.0,46.0
IGRP_WF_47_Mc_add_dist,26.0,9.0,88.0,71.0,56.0,88.0,26.0,88.0,34.0,56.0,82.0,1.0,75.0,36.0,56.0,9.0,71.0,31.0,88.0,66.0
IGRP_WF_48_Mc_add_dist,65.0,46.0,50.0,32.0,62.0,52.0,65.0,50.0,70.0,62.0,24.0,1.0,64.0,84.0,62.0,46.0,32.0,70.0,52.0,27.0
IGRP_WF_49_Mc_add_dist,20.0,33.0,64.0,77.0,23.0,62.0,20.0,64.0,24.0,23.0,26.0,1.0,32.0,49.0,23.0,33.0,77.0,24.0,62.0,73.0
IGRP_WF_50_Mc_add_dist,83.0,68.0,29.0,14.0,80.0,33.0,83.0,29.0,83.0,81.0,22.0,1.0,69.0,83.0,80.0,68.0,14.0,83.0,33.0,14.0
IGRP_WF_51_Mc_add_dist,32.0,5.0,92.0,65.0,74.0,95.0,32.0,92.0,52.0,73.0,87.0,1.0,89.0,1.0,74.0,5.0,65.0,46.0,95.0,51.0
IGRP_WF_52_Mc_add_dist,49.0,45.0,52.0,48.0,45.0,50.0,49.0,52.0,39.0,45.0,11.0,1.0,49.0,55.0,45.0,45.0,48.0,40.0,50.0,57.0
IGRP_WF_53_Mc_add_dist,35.0,38.0,59.0,62.0,47.0,59.0,35.0,59.0,35.0,46.0,69.0,1.0,57.0,65.0,47.0,38.0,62.0,35.0,59.0,62.0
IGRP_WF_54_Mc_add_dist,78.0,82.0,15.0,19.0,57.0,13.0,78.0,15.0,75.0,57.0,20.0,1.0,44.0,93.0,57.0,82.0,19.0,75.0,13.0,22.0
IGRP_WF_55_Mc_add_dist,63.0,15.0,82.0,34.0,92.0,92.0,63.0,82.0,79.0,92.0,88.0,1.0,95.0,31.0,92.0,15.0,34.0,79.0,92.0,18.0
IGRP_WF_56_Mc_add_dist,79.0,67.0,30.0,18.0,71.0,37.0,79.0,30.0,80.0,71.0,32.0,1.0,65.0,89.0,71.0,67.0,18.0,80.0,37.0,17.0
IGRP_WF_57_Mc_add_dist,28.0,30.0,67.0,69.0,49.0,72.0,28.0,67.0,32.0,49.0,16.0,1.0,62.0,51.0,49.0,30.0,69.0,30.0,72.0,67.0
IGRP_WF_58_Mc_add_dist,24.0,71.0,26.0,73.0,5.0,20.0,24.0,26.0,10.0,5.0,6.0,1.0,3.0,81.0,5.0,71.0,73.0,19.0,20.0,78.0
IGRP_WF_59_Mc_add_dist,47.0,16.0,81.0,50.0,81.0,87.0,47.0,81.0,65.0,80.0,84.0,1.0,88.0,8.0,81.0,16.0,50.0,64.0,87.0,33.0
IGRP_WF_60_Mc_add_dist,68.0,63.0,34.0,29.0,52.0,38.0,68.0,34.0,63.0,52.0,48.0,1.0,50.0,39.0,52.0,63.0,29.0,66.0,38.0,31.0
IGRP_WF_61_Mc_add_dist,54.0,39.0,58.0,43.0,61.0,60.0,54.0,58.0,61.0,61.0,25.0,1.0,72.0,74.0,61.0,39.0,43.0,58.0,60.0,39.0
IGRP_WF_62_Mc_add_dist,31.0,88.0,9.0,66.0,2.0,4.0,31.0,9.0,15.0,2.0,5.0,1.0,1.0,90.0,2.0,88.0,66.0,23.0,4.0,74.0
IGRP_WF_63_Mc_add_dist,50.0,26.0,71.0,47.0,79.0,80.0,50.0,71.0,67.0,79.0,89.0,1.0,86.0,21.0,79.0,26.0,47.0,67.0,80.0,30.0
IGRP_WF_64_Mc_add_dist,55.0,49.0,48.0,42.0,48.0,47.0,55.0,48.0,48.0,48.0,75.0,1.0,51.0,76.0,48.0,49.0,42.0,49.0,47.0,48.0
IGRP_WF_65_Mc_add_dist,14.0,25.0,72.0,83.0,17.0,68.0,14.0,72.0,17.0,17.0,71.0,1.0,28.0,9.0,17.0,25.0,83.0,15.0,68.0,82.0
IGRP_WF_66_Mc_add_dist,64.0,74.0,23.0,33.0,37.0,23.0,64.0,23.0,51.0,37.0,38.0,1.0,25.0,71.0,37.0,74.0,33.0,54.0,23.0,43.0
IGRP_WF_67_Mc_add_dist,1.0,1.0,96.0,96.0,28.0,90.0,1.0,96.0,12.0,28.0,7.0,1.0,48.0,15.0,28.0,1.0,96.0,4.0,90.0,93.0
IGRP_WF_68_Mc_add_dist,81.0,53.0,43.0,16.0,88.0,49.0,81.0,43.0,85.0,88.0,56.0,1.0,78.0,50.0,88.0,53.0,16.0,86.0,49.0,11.0
IGRP_WF_69_Mc_add_dist,23.0,48.0,49.0,74.0,7.0,42.0,23.0,49.0,20.0,7.0,66.0,1.0,8.0,43.0,7.0,48.0,74.0,21.0,42.0,76.0
IGRP_WF_70_Mc_add_dist,94.0,95.0,2.0,3.0,87.0,1.0,94.0,2.0,92.0,87.0,57.0,1.0,59.0,34.0,87.0,95.0,3.0,91.0,1.0,6.0
IGRP_WF_71_Mc_add_dist,51.0,50.0,47.0,46.0,43.0,45.0,51.0,47.0,40.0,43.0,46.0,1.0,45.0,77.0,43.0,50.0,46.0,41.0,45.0,56.0
IGRP_WF_72_Mc_add_dist,77.0,80.0,16.0,20.0,55.0,18.0,77.0,16.0,74.0,55.0,68.0,1.0,43.0,35.0,55.0,80.0,20.0,74.0,18.0,23.0
IGRP_WF_73_Mc_add_dist,3.0,7.0,90.0,94.0,18.0,83.0,3.0,90.0,9.0,18.0,17.0,1.0,34.0,19.0,18.0,7.0,94.0,5.0,83.0,92.0
IGRP_WF_74_Mc_add_dist,60.0,75.0,22.0,37.0,33.0,22.0,60.0,22.0,42.0,33.0,12.0,1.0,18.0,57.0,33.0,75.0,37.0,44.0,22.0,53.0
IGRP_WF_75_Mc_add_dist,2.0,2.0,95.0,95.0,26.0,89.0,2.0,95.0,14.0,25.0,28.0,1.0,46.0,11.0,26.0,2.0,95.0,8.0,89.0,89.0
IGRP_WF_76_Mc_add_dist,43.0,65.0,32.0,54.0,25.0,29.0,43.0,32.0,29.0,26.0,18.0,1.0,13.0,42.0,25.0,65.0,54.0,29.0,29.0,68.0
IGRP_WF_77_Mc_add_dist,30.0,53.0,43.0,67.0,12.0,40.0,30.0,43.0,25.0,13.0,30.0,1.0,9.0,63.0,13.0,53.0,67.0,26.0,40.0,71.0
IGRP_WF_78_Mc_add_dist,69.0,86.0,11.0,28.0,34.0,8.0,69.0,11.0,54.0,34.0,49.0,1.0,12.0,30.0,34.0,86.0,28.0,56.0,8.0,41.0
IGRP_WF_79_Mc_add_dist,8.0,41.0,56.0,89.0,4.0,51.0,8.0,56.0,2.0,4.0,15.0,1.0,6.0,54.0,4.0,41.0,89.0,1.0,51.0,96.0
IGRP_WF_80_Mc_add_dist,73.0,80.0,16.0,24.0,41.0,15.0,73.0,16.0,59.0,41.0,44.0,1.0,23.0,86.0,41.0,80.0,24.0,61.0,15.0,36.0
IGRP_WF_81_Mc_add_dist,18.0,37.0,60.0,79.0,15.0,58.0,18.0,60.0,22.0,15.0,47.0,1.0,19.0,23.0,15.0,37.0,79.0,20.0,58.0,77.0
IGRP_WF_82_Mc_add_dist,90.0,84.0,13.0,7.0,89.0,17.0,90.0,13.0,90.0,89.0,53.0,1.0,71.0,67.0,89.0,84.0,7.0,90.0,17.0,7.0
IGRP_WF_83_Mc_add_dist,12.0,12.0,85.0,85.0,27.0,78.0,12.0,85.0,21.0,27.0,36.0,1.0,40.0,27.0,27.0,12.0,85.0,16.0,78.0,81.0
IGRP_WF_84_Mc_add_dist,62.0,73.0,24.0,35.0,36.0,24.0,62.0,24.0,44.0,36.0,43.0,1.0,24.0,48.0,36.0,73.0,35.0,48.0,24.0,49.0
IGRP_WF_85_Mc_add_dist,21.0,62.0,35.0,76.0,6.0,27.0,21.0,35.0,7.0,6.0,27.0,1.0,5.0,82.0,6.0,62.0,76.0,17.0,27.0,80.0
IGRP_WF_86_Mc_add_dist,95.0,96.0,1.0,2.0,95.0,2.0,95.0,1.0,95.0,95.0,54.0,1.0,83.0,20.0,95.0,96.0,2.0,95.0,2.0,2.0
IGRP_WF_87_Mc_add_dist,46.0,61.0,36.0,51.0,30.0,35.0,46.0,36.0,30.0,30.0,51.0,1.0,17.0,92.0,30.0,61.0,51.0,32.0,35.0,65.0
IGRP_WF_88_Mc_add_dist,92.0,78.0,19.0,5.0,93.0,25.0,92.0,19.0,94.0,93.0,39.0,1.0,79.0,64.0,93.0,78.0,5.0,93.0,25.0,4.0
IGRP_WF_89_Mc_add_dist,13.0,28.0,69.0,84.0,10.0,64.0,13.0,69.0,11.0,10.0,50.0,1.0,15.0,18.0,10.0,28.0,84.0,12.0,64.0,85.0
IGRP_WF_90_Mc_add_dist,71.0,77.0,20.0,26.0,42.0,19.0,71.0,20.0,60.0,42.0,37.0,1.0,26.0,87.0,42.0,77.0,26.0,62.0,19.0,35.0
IGRP_WF_91_Mc_add_dist,10.0,13.0,84.0,87.0,24.0,77.0,10.0,84.0,18.0,24.0,33.0,1.0,38.0,24.0,24.0,13.0,87.0,14.0,77.0,83.0
IGRP_WF_92_Mc_add_dist,85.0,87.0,10.0,12.0,68.0,12.0,85.0,10.0,82.0,68.0,76.0,1.0,53.0,56.0,68.0,87.0,12.0,82.0,12.0,15.0
IGRP_WF_93_Mc_add_dist,15.0,60.0,37.0,82.0,1.0,26.0,15.0,37.0,1.0,1.0,23.0,1.0,2.0,72.0,1.0,60.0,82.0,2.0,26.0,95.0
IGRP_WF_94_Mc_add_dist,91.0,92.0,5.0,6.0,85.0,7.0,91.0,5.0,89.0,85.0,77.0,1.0,61.0,28.0,85.0,92.0,6.0,88.0,7.0,9.0
IGRP_WF_95_Mc_add_dist,4.0,17.0,80.0,92.0,8.0,70.0,4.0,80.0,4.0,8.0,10.0,1.0,14.0,68.0,8.0,17.0,92.0,3.0,70.0,94.0
IGRP_WF_96_Mc_add_dist,80.0,76.0,21.0,17.0,63.0,21.0,80.0,21.0,78.0,64.0,9.0,1.0,54.0,62.0,64.0,76.0,17.0,78.0,21.0,19.0
