model name,t50_pln_igg,t60_pln_igg,t70_pln_igg,t80_pln_igg,t90_pln_igg,nseq_pln_igg
IGRP_WF_10_Kf_dist,0.245476003,0.226593234,0.177812746,0.135326515,0.008654603,1271
IGRP_WF_11_Kf_dist,0.173092054,0.141620771,0.084972463,0.041699449,0.022029898,1271
IGRP_WF_12_Kf_dist,0.218725413,0.181746656,0.143194335,0.010228167,0.004720692,1271
IGRP_WF_13_Kf_dist,0.166011015,0.103855232,0.036978757,0.007867821,0.004720692,1271
IGRP_WF_14_Kf_dist,0.100708104,0.056648308,0.018882769,0.005507474,0.003147128,1271
IGRP_WF_15_Kf_dist,0.169158143,0.12588513,0.105428796,0.060582219,0.013375295,1271
IGRP_WF_16_Kf_dist,0.269079465,0.243115657,0.066089693,0.024390244,0.004720692,1271
IGRP_WF_17_Kf_dist,0.334382376,0.258064516,0.226593234,0.166797797,0.035405193,1271
IGRP_WF_18_Kf_dist,0.2061369,0.197482297,0.048780488,0.016522423,0.007867821,1271
IGRP_WF_19_Kf_dist,0.279307632,0.091266719,0.047993706,0.018882769,0.007867821,1271
IGRP_WF_1_Kf_dist,0.211644375,0.174665618,0.120377655,0.060582219,0.035405193,1271
IGRP_WF_20_Kf_dist,0.247049567,0.221872541,0.066876475,0.014162077,0.007081039,1271
IGRP_WF_21_Kf_dist,0.281667978,0.219512195,0.186467349,0.164437451,0.032258065,1271
IGRP_WF_22_Kf_dist,0.199842644,0.194335169,0.039339103,0.005507474,0.000786782,1271
IGRP_WF_23_Kf_dist,0.219512195,0.192761605,0.123524784,0.004720692,0.001573564,1271
IGRP_WF_24_Kf_dist,0.081825334,0.039339103,0.022029898,0.006294256,0.00393391,1271
IGRP_WF_25_Kf_dist,0.302911094,0.248623131,0.223446105,0.158143194,0.146341463,1271
IGRP_WF_26_Kf_dist,0.233674272,0.221085759,0.078678206,0.018095987,0.008654603,1271
IGRP_WF_27_Kf_dist,0.325727773,0.267505901,0.218725413,0.04956727,0.019669552,1271
IGRP_WF_28_Kf_dist,0.230527144,0.214791503,0.089693155,0.074744296,0.013375295,1271
IGRP_WF_29_Kf_dist,0.267505901,0.229740362,0.141620771,0.131392604,0.005507474,1271
IGRP_WF_2_Kf_dist,0.190401259,0.141620771,0.019669552,0.008654603,0.004720692,1271
IGRP_WF_30_Kf_dist,0.224232887,0.176239182,0.019669552,0.006294256,0.005507474,1271
IGRP_WF_31_Kf_dist,0.294256491,0.245476003,0.191188041,0.162077105,0.011014949,1271
IGRP_WF_32_Kf_dist,0.086546027,0.04956727,0.015735641,0.005507474,0.001573564,1271
IGRP_WF_33_Mc_dist,0.170731707,0.151848938,0.090479937,0.070023603,0.013375295,1271
IGRP_WF_34_Mc_dist,0.247049567,0.220298977,0.04956727,0.012588513,0.002360346,1271
IGRP_WF_35_Mc_dist,0.314712825,0.170731707,0.138473643,0.08025177,0.031471282,1271
IGRP_WF_36_Mc_dist,0.261998426,0.236034618,0.088906373,0.052714398,0.010228167,1271
IGRP_WF_37_Mc_dist,0.209284028,0.166011015,0.132179386,0.059795437,0.022029898,1271
IGRP_WF_38_Mc_dist,0.229740362,0.075531078,0.040125885,0.006294256,0.002360346,1271
IGRP_WF_39_Mc_dist,0.191188041,0.154996066,0.087332809,0.066876475,0.018095987,1271
IGRP_WF_3_Kf_dist,0.182533438,0.164437451,0.104642014,0.054287962,0.038552321,1271
IGRP_WF_40_Mc_dist,0.141620771,0.073957514,0.024390244,0.005507474,0.001573564,1271
IGRP_WF_41_Mc_dist,0.295043273,0.154209284,0.081825334,0.036978757,0.006294256,1271
IGRP_WF_42_Mc_dist,0.247049567,0.217938631,0.077104642,0.018095987,0.008654603,1271
IGRP_WF_43_Mc_dist,0.191188041,0.159716758,0.122738002,0.068450039,0.029110936,1271
IGRP_WF_44_Mc_dist,0.25963808,0.214791503,0.166797797,0.128245476,0.007867821,1271
IGRP_WF_45_Mc_dist,0.295830055,0.144767899,0.10700236,0.062942565,0.014948859,1271
IGRP_WF_46_Mc_dist,0.196695515,0.174665618,0.044059795,0.008654603,0.003147128,1271
IGRP_WF_47_Mc_dist,0.190401259,0.144767899,0.097560976,0.070023603,0.025177026,1271
IGRP_WF_48_Mc_dist,0.220298977,0.047993706,0.016522423,0.006294256,0.003147128,1271
IGRP_WF_49_Mc_dist,0.298977183,0.268292683,0.127458694,0.038552321,0.010228167,1271
IGRP_WF_4_Kf_dist,0.137686861,0.116443745,0.075531078,0.040912667,0.009441385,1271
IGRP_WF_50_Mc_dist,0.239968529,0.209284028,0.05350118,0.014948859,0.003147128,1271
IGRP_WF_51_Mc_dist,0.203776554,0.162077105,0.136900079,0.090479937,0.033831629,1271
IGRP_WF_52_Mc_dist,0.265932337,0.117230527,0.095200629,0.042486231,0.004720692,1271
IGRP_WF_53_Mc_dist,0.294256491,0.144767899,0.108575924,0.056648308,0.005507474,1271
IGRP_WF_54_Mc_dist,0.237608183,0.195908733,0.015735641,0.007081039,0.00393391,1271
IGRP_WF_55_Mc_dist,0.178599528,0.158929976,0.102281668,0.073957514,0.029897718,1271
IGRP_WF_56_Mc_dist,0.227380016,0.066876475,0.025177026,0.008654603,0.003147128,1271
IGRP_WF_57_Mc_dist,0.273013375,0.135326515,0.084972463,0.062155783,0.008654603,1271
IGRP_WF_58_Mc_dist,0.243115657,0.195121951,0.17938631,0.022029898,0.007081039,1271
IGRP_WF_59_Mc_dist,0.190401259,0.164437451,0.130605822,0.07631786,0.029110936,1271
IGRP_WF_5_Kf_dist,0.202989772,0.151062156,0.130605822,0.096774194,0.040912667,1271
IGRP_WF_60_Mc_dist,0.243115657,0.083398899,0.032258065,0.014162077,0.007081039,1271
IGRP_WF_61_Mc_dist,0.160503541,0.122738002,0.101494886,0.040125885,0.008654603,1271
IGRP_WF_62_Mc_dist,0.218725413,0.054287962,0.014948859,0.004720692,0.001573564,1271
IGRP_WF_63_Mc_dist,0.180173092,0.158143194,0.128245476,0.073170732,0.023603462,1271
IGRP_WF_64_Mc_dist,0.114083399,0.065302911,0.025963808,0.006294256,0.002360346,1271
IGRP_WF_65_Mc_dist,0.252557042,0.22895358,0.191188041,0.161290323,0.151062156,1271
IGRP_WF_66_Mc_dist,0.252557042,0.199842644,0.158929976,0.153422502,0.011014949,1271
IGRP_WF_67_Mc_dist,0.300550747,0.273800157,0.232100708,0.176239182,0.025963808,1271
IGRP_WF_68_Mc_dist,0.253343824,0.231313926,0.177812746,0.051140834,0.012588513,1271
IGRP_WF_69_Mc_dist,0.250196696,0.230527144,0.146341463,0.011014949,0.003147128,1271
IGRP_WF_6_Kf_dist,0.230527144,0.2061369,0.014948859,0.007081039,0.00393391,1271
IGRP_WF_70_Mc_dist,0.189614477,0.04563336,0.038552321,0.004720692,0.002360346,1271
IGRP_WF_71_Mc_dist,0.25570417,0.212431157,0.161290323,0.121164437,0.00393391,1271
IGRP_WF_72_Mc_dist,0.213217939,0.193548387,0.125098348,0.006294256,0.003147128,1271
IGRP_WF_73_Mc_dist,0.302911094,0.242328875,0.21007081,0.181746656,0.023603462,1271
IGRP_WF_74_Mc_dist,0.232100708,0.208497246,0.143194335,0.017309205,0.009441385,1271
IGRP_WF_75_Mc_dist,0.329661684,0.281667978,0.240755311,0.195908733,0.028324154,1271
IGRP_WF_76_Mc_dist,0.231313926,0.200629426,0.055861526,0.011801731,0.006294256,1271
IGRP_WF_77_Mc_dist,0.256490952,0.186467349,0.143981117,0.018882769,0.007081039,1271
IGRP_WF_78_Mc_dist,0.222659323,0.079464988,0.044059795,0.011801731,0.005507474,1271
IGRP_WF_79_Mc_dist,0.254130606,0.214004721,0.169158143,0.014162077,0.003147128,1271
IGRP_WF_7_Kf_dist,0.344610543,0.193548387,0.114083399,0.051927616,0.013375295,1271
IGRP_WF_80_Mc_dist,0.214004721,0.07631786,0.020456334,0.011014949,0.004720692,1271
IGRP_WF_81_Mc_dist,0.280881196,0.239181747,0.18332022,0.165224233,0.143981117,1271
IGRP_WF_82_Mc_dist,0.203776554,0.190401259,0.044059795,0.012588513,0.004720692,1271
IGRP_WF_83_Mc_dist,0.299763965,0.261211644,0.205350118,0.177812746,0.014948859,1271
IGRP_WF_84_Mc_dist,0.220298977,0.214004721,0.160503541,0.12588513,0.005507474,1271
IGRP_WF_85_Mc_dist,0.224232887,0.145554681,0.129032258,0.009441385,0.000786782,1271
IGRP_WF_86_Mc_dist,0.056648308,0.012588513,0.00393391,0.003147128,0.001573564,1271
IGRP_WF_87_Mc_dist,0.262785208,0.236034618,0.071597168,0.024390244,0.003147128,1271
IGRP_WF_88_Mc_dist,0.1754524,0.136900079,0.008654603,0.00393391,0.001573564,1271
IGRP_WF_89_Mc_dist,0.285601888,0.235247836,0.196695515,0.055861526,0.018095987,1271
IGRP_WF_8_Kf_dist,0.208497246,0.040125885,0.025963808,0.005507474,0.001573564,1271
IGRP_WF_90_Mc_dist,0.212431157,0.063729347,0.043273013,0.011801731,0.00393391,1271
IGRP_WF_91_Mc_dist,0.304484658,0.245476003,0.04956727,0.028324154,0.014162077,1271
IGRP_WF_92_Mc_dist,0.222659323,0.150275374,0.132966168,0.011014949,0.003147128,1271
IGRP_WF_93_Mc_dist,0.220298977,0.185680566,0.055074744,0.012588513,0.005507474,1271
IGRP_WF_94_Mc_dist,0.159716758,0.018095987,0.010228167,0.003147128,0.000786782,1271
IGRP_WF_95_Mc_dist,0.269079465,0.198269079,0.143194335,0.014948859,0.001573564,1271
IGRP_WF_96_Mc_dist,0.182533438,0.029897718,0.011801731,0.005507474,0.000786782,1271
IGRP_WF_9_Kf_dist,0.325727773,0.173878836,0.12981904,0.077891424,0.034618411,1271
